id,noise,fiber,,rawPath,channel,sizeX,sizeY,sizeX_nm,sizeY_nm,user,imPath
53,,,,Data/capture/Bailey/0wt_3_07a.002,AmplitudeError,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/53.tif
54,,f,,Data/capture/Bailey/0wt_3_07a.002,Phase,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/54.tif
55,,,,Data/capture/Bailey/2.81d_2wk.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/55.tif
56,hs,,,Data/capture/Bailey/2.81d_2wk.001,AmplitudeError,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/56.tif
57,hs,,,Data/capture/Bailey/2.81d_2wk.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/57.tif
58,hl,,,Data/capture/Bailey/2.81d_2wk.002,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/58.tif
59,vg,,,Data/capture/Bailey/2.81d_2wk.002,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/59.tif
60,vg,,,Data/capture/Bailey/2.81d_2wk.002,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/60.tif
61,,,,Data/capture/Bailey/3wt_3_07a.001,Height,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/61.tif
62,,,,Data/capture/Bailey/3wt_3_07a.001,AmplitudeError,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/62.tif
63,,f,,Data/capture/Bailey/3wt_3_07a.001,Phase,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/63.tif
64,,,,Data/capture/Bailey/3wt_3_07a.002,Height,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/64.tif
65,,,,Data/capture/Bailey/3wt_3_07a.002,AmplitudeError,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/65.tif
66,hl,f,,Data/capture/Bailey/3wt_3_07a.002,Phase,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/66.tif
67,x,,,Data/capture/Bailey/3wt_3_07a.003,Height,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/67.tif
68,x,,,Data/capture/Bailey/3wt_3_07a.003,AmplitudeError,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/68.tif
69,x,,,Data/capture/Bailey/3wt_3_07a.003,Phase,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/69.tif
70,,,,Data/capture/Bailey/6pt5_3_07a.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/70.tif
71,hp,,,Data/capture/Bailey/6pt5_3_07a.001,AmplitudeError,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/71.tif
72,,f,,Data/capture/Bailey/6pt5_3_07a.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/72.tif
73,,,,Data/capture/Bailey/8_3_07a.001,Height,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/73.tif
74,,,,Data/capture/Bailey/8_3_07a.001,AmplitudeError,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/74.tif
75,,f,,Data/capture/Bailey/8_3_07a.001,Phase,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/75.tif
76,,,,Data/capture/Bailey/CNCs.000,Height,512,512,1000,1000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/76.tif
77,hp,,,Data/capture/Bailey/CNCs.000,AmplitudeError,512,512,1000,1000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/77.tif
78,vg,,,Data/capture/Bailey/CNCs.000,Phase,512,512,1000,1000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/78.tif
79,hl,,,Data/capture/Boyi/041414/BCB.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/79.tif
80,hl,,,Data/capture/Boyi/041414/BCB.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/80.tif
81,n,,,Data/capture/Boyi/041414/BCB.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/81.tif
82,,,,Data/capture/Boyi/041414/PDBTz_DCB_100.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/82.tif
83,,,,Data/capture/Boyi/041414/PDBTz_DCB_100.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/83.tif
84,,,,Data/capture/Boyi/041414/PDBTz_DCB_100.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/84.tif
85,,,,Data/capture/Boyi/041414/PDBTz_DCB_100.002,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/85.tif
86,,,,Data/capture/Boyi/041414/PDBTz_DCB_100.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/86.tif
87,,,,Data/capture/Boyi/041414/PDBTz_DCB_100.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/87.tif
88,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT01.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/88.tif
89,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT01.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/89.tif
90,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT01.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/90.tif
91,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT01.002,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/91.tif
92,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT01.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/92.tif
93,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT01.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/93.tif
94,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT01.003,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/94.tif
95,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT01.003,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/95.tif
96,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT01.003,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/96.tif
97,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT02.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/97.tif
98,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT02.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/98.tif
99,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT02.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/99.tif
100,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT02.002,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/100.tif
101,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT02.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/101.tif
102,,,,Data/capture/Boyi/041414/PDBTz_DCB_RT02.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/102.tif
103,,,,Data/capture/Boyi/041514/PDBTz_DCB_150.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/103.tif
104,,,,Data/capture/Boyi/041514/PDBTz_DCB_150.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/104.tif
105,,,,Data/capture/Boyi/041514/PDBTz_DCB_150.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/105.tif
106,,,,Data/capture/Boyi/041514/PDBTz_tetraline01.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/106.tif
107,,,,Data/capture/Boyi/041514/PDBTz_tetraline01.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/107.tif
108,,,,Data/capture/Boyi/041514/PDBTz_tetraline01.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/108.tif
109,,,,Data/capture/Boyi/041514/PDBTz_tetraline01.002,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/109.tif
110,hp,,,Data/capture/Boyi/041514/PDBTz_tetraline01.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/110.tif
111,,,,Data/capture/Boyi/041514/PDBTz_tetraline01.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/111.tif
112,,,,Data/capture/Boyi/041514/PDBTz_tetraline01.003,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/112.tif
113,,,,Data/capture/Boyi/041514/PDBTz_tetraline01.003,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/113.tif
114,vg,,,Data/capture/Boyi/041514/PDBTz_tetraline01.003,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/114.tif
115,,,,Data/capture/Boyi/041514/PDBTz_tetraline01.004,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/115.tif
116,hp,,,Data/capture/Boyi/041514/PDBTz_tetraline01.004,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/116.tif
117,,,,Data/capture/Boyi/041514/PDBTz_tetraline01.004,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/117.tif
118,,,,Data/capture/Boyi/041514/PDBTz_tetraline02.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/118.tif
119,,,,Data/capture/Boyi/041514/PDBTz_tetraline02.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/119.tif
120,,,,Data/capture/Boyi/041514/PDBTz_tetraline02.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/120.tif
121,,,,Data/capture/Boyi/041514/PDBTz_tetraline02.002,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/121.tif
122,,,,Data/capture/Boyi/041514/PDBTz_tetraline02.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/122.tif
123,,,,Data/capture/Boyi/041514/PDBTz_tetraline02.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/123.tif
124,,,,Data/capture/Boyi/041514/PDBTz_tetraline02.003,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/124.tif
125,,,,Data/capture/Boyi/041514/PDBTz_tetraline02.003,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/125.tif
126,,,,Data/capture/Boyi/041514/PDBTz_tetraline02.003,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/126.tif
127,,,,Data/capture/Boyi/041514/PDBTz_tetraline02.004,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/127.tif
128,,,,Data/capture/Boyi/041514/PDBTz_tetraline02.004,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/128.tif
129,,,,Data/capture/Boyi/041514/PDBTz_tetraline02.004,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/129.tif
130,,,,Data/capture/Boyi/041614/PDBTz_o-xylene01.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/130.tif
131,,,,Data/capture/Boyi/041614/PDBTz_o-xylene01.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/131.tif
132,vg,,,Data/capture/Boyi/041614/PDBTz_o-xylene01.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/132.tif
133,,,,Data/capture/Boyi/041614/PDBTz_o-xylene01.002,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/133.tif
134,,,,Data/capture/Boyi/041614/PDBTz_o-xylene01.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/134.tif
135,vg,,,Data/capture/Boyi/041614/PDBTz_o-xylene01.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/135.tif
136,,,,Data/capture/Boyi/041614/PDBTz_o-xylene02.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/136.tif
137,,,,Data/capture/Boyi/041614/PDBTz_o-xylene02.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/137.tif
138,,,,Data/capture/Boyi/041614/PDBTz_o-xylene02.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/138.tif
139,,,,Data/capture/Boyi/041614/PDBTz_p-xylene01.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/139.tif
140,,,,Data/capture/Boyi/041614/PDBTz_p-xylene01.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/140.tif
141,,,,Data/capture/Boyi/041614/PDBTz_p-xylene01.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/141.tif
142,hl,,,Data/capture/Boyi/041614/PDBTz_p-xylene02.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/142.tif
143,hl,,,Data/capture/Boyi/041614/PDBTz_p-xylene02.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/143.tif
144,vg,,,Data/capture/Boyi/041614/PDBTz_p-xylene02.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/144.tif
145,,,,Data/capture/Boyi/041614/PDBTz_p-xylene02.002,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/145.tif
146,,,,Data/capture/Boyi/041614/PDBTz_p-xylene02.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/146.tif
147,,,,Data/capture/Boyi/041614/PDBTz_p-xylene02.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/147.tif
148,,,,Data/capture/Boyi/041814/PDBTz_o-xyleneRT.001,ZSensor,256,256,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/148.tif
149,,,,Data/capture/Boyi/041814/PDBTz_o-xyleneRT.001,AmplitudeError,256,256,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/149.tif
150,,,,Data/capture/Boyi/041814/PDBTz_o-xyleneRT.001,Phase,256,256,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/150.tif
151,,,,Data/capture/Boyi/041814/PDBTz_o-xyleneRT.002,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/151.tif
152,,,,Data/capture/Boyi/041814/PDBTz_o-xyleneRT.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/152.tif
153,,,,Data/capture/Boyi/041814/PDBTz_o-xyleneRT.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/153.tif
154,,,,Data/capture/Boyi/041814/PDBTz_p-xyleneRT.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/154.tif
155,,,,Data/capture/Boyi/041814/PDBTz_p-xyleneRT.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/155.tif
156,,,,Data/capture/Boyi/041814/PDBTz_p-xyleneRT.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/156.tif
157,vg,,,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/157.tif
158,vg,,,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/158.tif
159,vg,,,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/159.tif
160,vg,,,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.002,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/160.tif
161,vg,,,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/161.tif
162,vg,,,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/162.tif
163,vg,,,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.003,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/163.tif
164,vg,,,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.003,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/164.tif
165,vg,,,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.003,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/165.tif
166,,,,Data/capture/Boyi/041914/PDBTz_DCB.001,ZSensor,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/166.tif
167,hp,,,Data/capture/Boyi/041914/PDBTz_DCB.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/167.tif
168,,,,Data/capture/Boyi/041914/PDBTz_DCB.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/168.tif
