id,id,noise,fiber,rawPath,channel,sizeX,sizeY,sizeX_nm,sizeY_nm,user,imPath
52,52,c,n,Data/capture/Bailey/0wt_3_07a.002,Height,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/52.tif
53,53,c,n,Data/capture/Bailey/0wt_3_07a.002,AmplitudeError,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/53.tif
54,54,c,f,Data/capture/Bailey/0wt_3_07a.002,Phase,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/54.tif
55,55,c,n,Data/capture/Bailey/2.81d_2wk.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/55.tif
56,56,n,n,Data/capture/Bailey/2.81d_2wk.001,AmplitudeError,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/56.tif
57,57,n,n,Data/capture/Bailey/2.81d_2wk.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/57.tif
58,58,n,n,Data/capture/Bailey/2.81d_2wk.002,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/58.tif
59,59,n,n,Data/capture/Bailey/2.81d_2wk.002,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/59.tif
60,60,n,n,Data/capture/Bailey/2.81d_2wk.002,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/60.tif
61,61,c,n,Data/capture/Bailey/3wt_3_07a.001,Height,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/61.tif
62,62,c,n,Data/capture/Bailey/3wt_3_07a.001,AmplitudeError,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/62.tif
63,63,c,f,Data/capture/Bailey/3wt_3_07a.001,Phase,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/63.tif
64,64,c,n,Data/capture/Bailey/3wt_3_07a.002,Height,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/64.tif
65,65,c,n,Data/capture/Bailey/3wt_3_07a.002,AmplitudeError,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/65.tif
66,66,n,f,Data/capture/Bailey/3wt_3_07a.002,Phase,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/66.tif
70,70,c,n,Data/capture/Bailey/6pt5_3_07a.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/70.tif
71,71,n,n,Data/capture/Bailey/6pt5_3_07a.001,AmplitudeError,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/71.tif
72,72,c,f,Data/capture/Bailey/6pt5_3_07a.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/72.tif
73,73,c,n,Data/capture/Bailey/8_3_07a.001,Height,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/73.tif
74,74,c,n,Data/capture/Bailey/8_3_07a.001,AmplitudeError,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/74.tif
75,75,c,f,Data/capture/Bailey/8_3_07a.001,Phase,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/75.tif
76,76,c,n,Data/capture/Bailey/CNCs.000,Height,512,512,1000,1000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/76.tif
77,77,n,n,Data/capture/Bailey/CNCs.000,AmplitudeError,512,512,1000,1000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/77.tif
78,78,n,n,Data/capture/Bailey/CNCs.000,Phase,512,512,1000,1000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/78.tif
79,79,n,n,Data/capture/Boyi/041414/BCB.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/79.tif
80,80,n,n,Data/capture/Boyi/041414/BCB.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/80.tif
81,81,n,n,Data/capture/Boyi/041414/BCB.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/81.tif
82,82,c,n,Data/capture/Boyi/041414/PDBTz_DCB_100.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/82.tif
83,83,c,n,Data/capture/Boyi/041414/PDBTz_DCB_100.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/83.tif
84,84,c,n,Data/capture/Boyi/041414/PDBTz_DCB_100.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/84.tif
85,85,c,n,Data/capture/Boyi/041414/PDBTz_DCB_100.002,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/85.tif
86,86,c,n,Data/capture/Boyi/041414/PDBTz_DCB_100.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/86.tif
87,87,c,n,Data/capture/Boyi/041414/PDBTz_DCB_100.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/87.tif
88,88,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT01.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/88.tif
89,89,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT01.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/89.tif
90,90,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT01.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/90.tif
91,91,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT01.002,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/91.tif
92,92,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT01.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/92.tif
93,93,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT01.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/93.tif
94,94,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT01.003,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/94.tif
95,95,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT01.003,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/95.tif
96,96,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT01.003,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/96.tif
97,97,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT02.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/97.tif
98,98,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT02.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/98.tif
99,99,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT02.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/99.tif
100,100,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT02.002,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/100.tif
101,101,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT02.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/101.tif
102,102,c,n,Data/capture/Boyi/041414/PDBTz_DCB_RT02.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/102.tif
103,103,c,n,Data/capture/Boyi/041514/PDBTz_DCB_150.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/103.tif
104,104,c,n,Data/capture/Boyi/041514/PDBTz_DCB_150.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/104.tif
105,105,c,n,Data/capture/Boyi/041514/PDBTz_DCB_150.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/105.tif
106,106,c,n,Data/capture/Boyi/041514/PDBTz_tetraline01.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/106.tif
107,107,c,n,Data/capture/Boyi/041514/PDBTz_tetraline01.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/107.tif
108,108,c,n,Data/capture/Boyi/041514/PDBTz_tetraline01.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/108.tif
109,109,c,n,Data/capture/Boyi/041514/PDBTz_tetraline01.002,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/109.tif
110,110,n,n,Data/capture/Boyi/041514/PDBTz_tetraline01.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/110.tif
111,111,c,n,Data/capture/Boyi/041514/PDBTz_tetraline01.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/111.tif
112,112,c,n,Data/capture/Boyi/041514/PDBTz_tetraline01.003,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/112.tif
113,113,c,n,Data/capture/Boyi/041514/PDBTz_tetraline01.003,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/113.tif
114,114,n,n,Data/capture/Boyi/041514/PDBTz_tetraline01.003,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/114.tif
115,115,c,n,Data/capture/Boyi/041514/PDBTz_tetraline01.004,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/115.tif
116,116,n,n,Data/capture/Boyi/041514/PDBTz_tetraline01.004,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/116.tif
117,117,c,n,Data/capture/Boyi/041514/PDBTz_tetraline01.004,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/117.tif
118,118,c,n,Data/capture/Boyi/041514/PDBTz_tetraline02.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/118.tif
119,119,c,n,Data/capture/Boyi/041514/PDBTz_tetraline02.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/119.tif
120,120,c,n,Data/capture/Boyi/041514/PDBTz_tetraline02.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/120.tif
121,121,c,n,Data/capture/Boyi/041514/PDBTz_tetraline02.002,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/121.tif
122,122,c,n,Data/capture/Boyi/041514/PDBTz_tetraline02.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/122.tif
123,123,c,n,Data/capture/Boyi/041514/PDBTz_tetraline02.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/123.tif
124,124,c,n,Data/capture/Boyi/041514/PDBTz_tetraline02.003,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/124.tif
125,125,c,n,Data/capture/Boyi/041514/PDBTz_tetraline02.003,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/125.tif
126,126,c,n,Data/capture/Boyi/041514/PDBTz_tetraline02.003,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/126.tif
127,127,c,n,Data/capture/Boyi/041514/PDBTz_tetraline02.004,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/127.tif
128,128,c,n,Data/capture/Boyi/041514/PDBTz_tetraline02.004,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/128.tif
129,129,c,n,Data/capture/Boyi/041514/PDBTz_tetraline02.004,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/129.tif
130,130,c,n,Data/capture/Boyi/041614/PDBTz_o-xylene01.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/130.tif
131,131,c,n,Data/capture/Boyi/041614/PDBTz_o-xylene01.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/131.tif
132,132,n,n,Data/capture/Boyi/041614/PDBTz_o-xylene01.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/132.tif
133,133,c,n,Data/capture/Boyi/041614/PDBTz_o-xylene01.002,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/133.tif
134,134,c,n,Data/capture/Boyi/041614/PDBTz_o-xylene01.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/134.tif
135,135,n,n,Data/capture/Boyi/041614/PDBTz_o-xylene01.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/135.tif
136,136,c,n,Data/capture/Boyi/041614/PDBTz_o-xylene02.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/136.tif
137,137,c,n,Data/capture/Boyi/041614/PDBTz_o-xylene02.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/137.tif
138,138,c,n,Data/capture/Boyi/041614/PDBTz_o-xylene02.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/138.tif
139,139,c,n,Data/capture/Boyi/041614/PDBTz_p-xylene01.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/139.tif
140,140,c,n,Data/capture/Boyi/041614/PDBTz_p-xylene01.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/140.tif
141,141,c,n,Data/capture/Boyi/041614/PDBTz_p-xylene01.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/141.tif
142,142,n,n,Data/capture/Boyi/041614/PDBTz_p-xylene02.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/142.tif
143,143,n,n,Data/capture/Boyi/041614/PDBTz_p-xylene02.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/143.tif
144,144,n,n,Data/capture/Boyi/041614/PDBTz_p-xylene02.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/144.tif
145,145,c,n,Data/capture/Boyi/041614/PDBTz_p-xylene02.002,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/145.tif
146,146,c,n,Data/capture/Boyi/041614/PDBTz_p-xylene02.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/146.tif
147,147,c,n,Data/capture/Boyi/041614/PDBTz_p-xylene02.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/147.tif
148,148,c,n,Data/capture/Boyi/041814/PDBTz_o-xyleneRT.001,Height,256,256,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/148.tif
149,149,c,n,Data/capture/Boyi/041814/PDBTz_o-xyleneRT.001,AmplitudeError,256,256,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/149.tif
150,150,c,n,Data/capture/Boyi/041814/PDBTz_o-xyleneRT.001,Phase,256,256,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/150.tif
151,151,c,n,Data/capture/Boyi/041814/PDBTz_o-xyleneRT.002,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/151.tif
152,152,c,n,Data/capture/Boyi/041814/PDBTz_o-xyleneRT.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/152.tif
153,153,c,n,Data/capture/Boyi/041814/PDBTz_o-xyleneRT.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/153.tif
154,154,c,n,Data/capture/Boyi/041814/PDBTz_p-xyleneRT.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/154.tif
155,155,c,n,Data/capture/Boyi/041814/PDBTz_p-xyleneRT.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/155.tif
156,156,c,n,Data/capture/Boyi/041814/PDBTz_p-xyleneRT.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/156.tif
157,157,n,n,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/157.tif
158,158,n,n,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/158.tif
159,159,n,n,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/159.tif
160,160,n,n,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.002,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/160.tif
161,161,n,n,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/161.tif
162,162,n,n,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/162.tif
163,163,n,n,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.003,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/163.tif
164,164,n,n,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.003,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/164.tif
165,165,n,n,Data/capture/Boyi/041814/PDBTz_tetraline_RT01.003,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/165.tif
166,166,c,n,Data/capture/Boyi/041914/PDBTz_DCB.001,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/166.tif
167,167,n,n,Data/capture/Boyi/041914/PDBTz_DCB.001,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/167.tif
168,168,c,n,Data/capture/Boyi/041914/PDBTz_DCB.001,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/168.tif
169,169,n,n,Data/capture/Boyi/041914/PDBTz_DCB.002,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/169.tif
170,170,n,n,Data/capture/Boyi/041914/PDBTz_DCB.002,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/170.tif
171,171,c,n,Data/capture/Boyi/041914/PDBTz_DCB.002,Phase,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/171.tif
172,172,n,n,Data/capture/Boyi/041914/PDBTz_oxylene_150C_BCB.003,Height,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/172.tif
173,173,c,n,Data/capture/Boyi/041914/PDBTz_oxylene_150C_BCB.003,AmplitudeError,512,512,2000,2000,Boyi,/Users/Imperssonator/CC/uhcs/data/afm/173.tif
